Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,966.0446881,1011.65412,1303.218162,1619.869156,2092.321169,2484.778714,2730.453189,2740.103525,2823.261203,2928.787924,3282.712496,3610.991405,3931.053596,4177.076568,4500.591487,4769.251761,5067.065063,5369.323281,5630.602423,5838.811787
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,4560.621041,5505.600998,12280.0928,28625.72401,52054.97567,90235.77369,117605.5546,138998.9988,176458.0408,217786.4471,267954.7414,321238.8012,379006.9297,441055.0359,508601.8449,568237.5048,614337.9513,645451.2475,658857.6234,668772.4076
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,23.60870815,24.03711759,51.54878808,73.13737373,78.54679905,75.10504471,98.43227468,120.7451735,140.1601985,127.9544918,152.0038923,175.1900296,208.3570356,248.734172,316.9926029,370.2367498,431.481865,488.3770911,550.4319418,603.0640917
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,98.78578523,169.3476529,1152.732197,2287.317741,2471.078504,2878.111419,3856.744077,4455.481843,5494.241078,5137.383392,5548.190813,5872.664202,6274.262917,7112.251048,7472.798947,7786.639346,8657.453961,9981.339797,11888.08063,13800.60197
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0,0,0,0,5.52706067,7.442129065,24.24688465,38.619071,65.38386354,98.85643228,133.5357663,163.6370987,200.8980612,242.6608303,313.7584188,368.7064544,430.9597331,488.2084618,550.3725194,603.0394577
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,0,0,0,0,54.64354576,98.30340448,508.8665692,664.229809,1629.764358,2669.306509,3389.183242,3937.42859,4461.421732,5484.242016,6166.506449,6911.852842,8146.05975,9726.295765,11793.75483,13755.20143
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,23.60870815,24.03711759,51.54878808,73.13737373,73.01973838,67.66291564,74.18539003,82.12610253,74.77633496,29.0980595,18.46812601,11.55293088,7.458974377,6.073341658,3.234184046,1.530295403,0.522131841,0.168629283,0.059422399,0.02463404
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,98.78578523,169.3476529,1152.732197,2287.317741,2416.434958,2779.808015,3347.877508,3791.252034,3864.47672,2468.076883,2159.00757,1935.235613,1812.841185,1628.009032,1306.292498,874.7865042,511.3942111,255.0440322,94.32579641,45.40053885
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,439.1392544,406.2518567,299.5079315,218.8183986,207.8768075,201.5436201,183.8932056,159.7362098,120.1994467,150.2131047,165.9275577,164.787743,167.2680958,169.4201656,174.0701764,171.5889066,171.6902952,173.3953573,172.4634997,173.7387248
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,1484.421868,1760.762119,1943.049262,2086.002169,2199.840686,2237.364609,2116.387345,1939.560368,1656.006928,1283.94688,1187.809484,1133.926595,1117.26107,1102.384496,1020.242578,898.3274406,810.4664291,751.032118,706.2496764,680.3868593
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0,0,0,0,1.825711536,4.270497653,18.48276778,28.35495909,50.04821525,77.63698105,110.2043598,134.833548,152.0617884,161.3524242,170.5062784,170.0226118,171.1547945,173.240982,172.4121883,173.7197865
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,0,0,0,0,2.048209262,4.750035238,47.79595855,105.8723485,210.9077342,372.2313731,525.802165,678.6234324,768.4243573,820.8063034,806.9538763,747.5462767,699.4136481,661.8536908,626.4604626,602.3946691
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,439.1392544,406.2518567,299.5079315,218.8183986,206.0510959,197.2731224,165.4104378,131.3812507,70.15123144,72.57612362,55.72319786,29.95419493,15.2063074,8.067741447,3.56389806,1.566294777,0.535500677,0.154375264,0.051311322,0.018938243
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,1484.421868,1760.762119,1943.049262,2086.002169,2197.792476,2232.614574,2068.591386,1833.68802,1445.099194,911.7155069,662.007319,455.3031631,348.8367122,281.5781925,213.2887016,150.7811639,111.052781,89.17842724,79.78921378,77.99219018
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,232.5124643,306.2762895,419.9597459,485.5707834,458.2829075,447.5685606,399.0871787,376.7058966,320.783384,188.93017,175.0813742,165.4729094,162.7145548,163.9351378,167.4432217,166.232398,170.3519637,174.3712742,178.2196904,179.6286917
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,1136.852053,1497.423979,1743.126871,1837.00082,1765.223473,1710.518389,1656.233657,1615.166494,1397.519938,994.9292123,1002.598274,1036.306099,1083.321533,1136.246086,1169.170247,1170.172309,1186.543352,1193.154913,1177.466014,1153.272135
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0,0,0,0,5.723482686,9.141553701,19.35452459,26.1921332,41.98136653,61.95351622,81.52206169,97.95595114,114.140732,126.2986706,141.9665026,149.9623327,161.3605522,169.7846747,175.8331312,178.216348
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,0,0,0,0,12.91087222,19.68835408,58.4427939,90.67198575,142.7639243,217.445783,308.5856012,415.4361031,517.5591844,615.6081018,685.3071286,750.4720678,810.6515407,867.1717185,900.2813993,918.6876603
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,232.5124643,306.2762895,419.9597459,485.5707834,452.5594248,438.4270069,379.7326541,350.5137634,278.8020175,126.9766538,93.55931249,67.51695826,48.57382275,37.6364672,25.47671916,16.27006528,8.991411495,4.586599586,2.386559257,1.412343719
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,1136.852053,1497.423979,1743.126871,1837.00082,1752.312601,1690.830035,1597.790863,1524.494508,1254.756013,777.4834293,694.0126731,620.8699963,565.7623481,520.637984,483.8631185,419.7002412,375.8918109,325.983195,277.1846149,234.5844752
